Date,Open,High,Low,Close,Adj Close,Volume
2021-12-06,258.890015,261.320007,256.869995,258.529999,256.807648,367000
2021-12-07,263.640015,266.997986,263.149994,265.899994,264.128540,290100
2021-12-08,267.720001,268.420013,264.078003,267.070007,265.290741,288200
2021-12-09,263.549988,264.299988,259.755005,260.250000,258.516174,313700
2021-12-10,259.799988,261.500000,258.850006,261.299988,259.559174,413600
2021-12-13,259.880005,260.809998,257.709991,258.399994,256.678497,192600
2021-12-14,256.260010,256.739990,251.889999,253.309998,251.622406,449800
2021-12-15,258.500000,260.519989,255.910004,260.470001,258.734711,605800
2021-12-16,259.130005,260.040009,256.010010,256.579987,254.870621,301200
2021-12-17,253.800003,256.299988,252.270996,252.509995,250.827744,442000
2021-12-20,250.440002,251.059998,247.684998,249.600006,247.937134,520400
2021-12-21,249.399994,249.970001,246.839996,249.020004,247.361008,456100
2021-12-22,247.300003,251.649994,247.020004,250.699997,249.029800,243100
2021-12-23,250.000000,254.479996,249.839996,253.460007,251.771423,223300
2021-12-27,254.679993,258.559998,254.279999,258.140015,256.420258,169000
2021-12-28,258.309998,258.692993,257.100006,257.500000,255.784500,142300
2021-12-29,256.500000,258.089996,255.229996,257.799988,256.082489,119400
2021-12-30,257.049988,259.690002,256.760010,256.829987,255.118958,168200
2021-12-31,256.640015,260.429993,256.640015,258.820007,257.095703,133000
2022-01-03,259.399994,259.869995,256.839996,259.489990,257.761230,192600
2022-01-04,261.779999,271.950012,261.779999,269.190002,267.396637,691900
2022-01-05,268.670013,268.809998,262.190002,262.790009,261.039276,278700
2022-01-06,262.489990,263.040009,259.000000,261.579987,259.837311,302000
2022-01-07,257.519989,258.600006,254.119995,257.019989,255.307693,276600
2022-01-10,252.029999,254.580002,249.169998,254.220001,252.526352,586800
2022-01-11,251.539993,254.679993,250.110001,254.339996,252.645554,331200
2022-01-12,256.660004,259.500000,256.260010,258.410004,256.688446,240700
2022-01-13,256.079987,257.940002,250.860001,251.009995,249.337738,251900
2022-01-14,246.399994,247.259995,242.500000,245.389999,243.755173,346500
2022-01-18,238.479996,239.735001,236.199997,236.649994,235.073395,326100
2022-01-19,241.250000,242.110001,237.914993,239.080002,237.487213,448800
2022-01-20,240.240005,243.300003,236.259995,236.600006,235.023743,293500
2022-01-21,234.179993,235.770004,231.889999,232.309998,230.762314,391200
2022-01-24,227.070007,231.729996,221.427994,231.720001,230.176254,476200
